CODGL;Viv;Pob;Viv_par;Pob_viv_part;Viv_col;Pob_viv_col;Pob_sit_calle
142917;1.265;1.901;1.264;1.891;1;10;.
142924;1.094;2.142;1.094;2.142;.;.;.
142931;6;9;6;9;.;.;.
142938;16;19;16;19;.;.;.
142945;85;256;85;256;.;.;.
142952;60;124;60;124;.;.;.
142959;94;249;94;249;.;.;.
142966;110;225;110;225;.;.;.
142973;104;210;104;210;.;.;.
142980;35;85;35;85;.;.;.
143001;411;488;411;488;.;.;.
143008;914;2.066;914;2.066;.;.;.
143015;422;748;420;744;2;4;.
143022;303;287;303;287;.;.;.
143029;136;230;135;228;1;2;.
143036;500;598;496;587;4;11;.
143043;482;1.595;482;1.595;.;.;.
143050;3.000;2.268;3.000;2.268;.;.;.
143057;249;636;249;636;.;.;.
143064;322;211;321;203;1;8;.
143071;1.150;1.829;1.150;1.829;.;.;.
143078;937;1.145;936;1.143;1;2;.
143085;1.574;4.051;1.573;4.042;1;9;.
143092;919;1.456;919;1.456;.;.;.
143099;1.247;1.554;1.244;1.546;3;8;.
143113;458;607;458;607;.;.;.
143120;194;332;194;332;.;.;.
143127;44;84;44;84;.;.;.
143134;145;348;145;348;.;.;.
143141;160;337;160;337;.;.;.
143148;93;262;93;262;.;.;.
143155;95;264;95;264;.;.;.
